,ISBN,Título,Autor,Ilustrador,Tradutor,Data de edição,Editora,Idade02,Idade02.1,Nível de leitura01,Nível de leitura02,Temas01,Temas02,Temas03,Formato01,Formato02,Línguas01,Línguas02
3217,978-972-610-694-4,O urso,"Bussolati, Emanuela","Mesturini, Cristina","Bento, M.",2003,Campo das Letras,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
3218,978-972-610-719-4,A lenda do galo de Barcelos,"Meireles, Maria José","Quental, Joana",,2003,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3219,978-972-610-741-5,A menina gigante,"Marmelo, Manuel Jorge ; Maria, Miguel","Traina, Simona",,2003,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3220,978-972-610-746-0,A árvore das folhas que doem,"Veloso, Miguel","Veloso, Miguel",,2003,Campo das Letras,6-8 anos,,Leitura inicial,,Literatura,,,,,Português,
3221,978-972-610-783-5,A asa e a casa,"Lopes, Teresa Rita ; Silva, Filipe, fot.","Rösler, Susanne",,2004,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3222,978-972-610-805-4,O meu primeiro Larousse dos porquês,"Guibert, Françoise de ; Cambournac, Laure","Azam, Jacques","Caspurro, Joana",2004,Campo das Letras,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,Cultura e Sociedade,,Livro álbum,,Português,
3223,978-972-610-823-8,Não posso comer sem limão : contos tradicionais portugueses,"Mésseder, João Pedro, pseud.","Oliveira, Etelvina",,2004,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
3224,978-972-610-889-4,O menino que se apaixonou por uma guitarra,"Letria, José Jorge","Emídio, José",,2004,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,Cultura e Sociedade,,,,Português,
3225,978-972-610-936-5,A história de William : a possível infância de Shakespeare,"Moutinho, José Viale",,,2005,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,Cultura e Sociedade,,,,Português,
3226,978-972-610-974-7,100 fábulas de La Fontaine,"La Fontaine, Jean de ; Moutinho, Viale, compil.","Emídio, José","Cardoso, A. Lopes",2005,Campo das Letras,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
3227,978-972-610-976-1,O senhor Minimal,"Barbosa, Olga","Barbosa, Olga",,2005,Campo das Letras,9-11 anos,,Leitura mediana,,Poesia,,,,,Português,
3228,978-972-610-977-8,O meu atlas Larousse,"Delalandre, Benoît  ; Browaeys, Xavier","Clapin, Jérémy",,2005,Campo das Letras,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
3229,978-972-610-978-5,Os meninos gordos : a história dos meninos gordos que viraram peças de faiança,"Fernandes, Isabel Maria, coord. cient. e revis. ; Correia, Manuel, fot.",,,2005,Campo das Letras,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
3230,978-972-610-986-0,Dom Quixote contado às crianças,"Durán, Rosa Navarro, adapt.","Rovira, Francesc","Navarro, António R.",2005,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3231,978-972-610-997-6,Paisagem com trenó e neve ao fundo : um conto de Natal,"Vieira, Vergílio Alberto ","Cotrim, Anabela",,2005,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3232,978-972-610-998-3,O Porto e o segredo do Infante,"Meireles, Maria José","Caetano, João",,2005,Campo das Letras,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3233,978-972-61075-0-7,"História com reis, rainhas, bobos, bombeiros e galinhas","Pina, Manuel António",,,2008,Campo das Letras,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
3234,978-972-617-124-9,Vinte poetas contemporâneos,"Mourão-Ferreira, David",,,1980,Ática,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
3235,978-972-617-186-7,O pecado de João Agonia,"Santareno, Bernardo",,,2009,Nova Ática,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
3236,978-972-627-559-6,Os Lusíadas em prosa,"Camões, Luís Vaz de ; Pais, Amélia Pinto, adapt.",,,2008,Areal,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
3237,978-972-65-094-62,Lisboa e Vale do Tejo,"Bernardo, Inês","Clemente, Maria João",,2012,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3238,978-972-65-094-79,Minho e Trás-os-Montes : lendas de Portugal,"Bernardo, Inês","Clemente, Maria João",,2012,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3239,978-972-650-521-1,O grande livro do medo : 20 + 1 histórias para tremer,"Valls, Xavier, adapt.","Rodríguez, P.","Sousa, Virgínia Blanc",2005,Didáctica,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
3240,978-972-650-522-8,"Em viagem pela História : atlas elementar temático : conquistas, aventuras e descobertas da pré-história a hoje",,,"Guerreiro, Inês",2005,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3241,978-972-650-530-3,Alexandre Magno,"Miranda, Pau","Inaraja, Christian","Caprichoso, Horácio",2005,Didáctica,12-14 anos,,Leitura fluente,,Cultura e Sociedade,Biografia,,Livro álbum,,Português,
3242,978-972-650-537-2,Como viviam os Astecas,"Clare, John D.",,"Rocha, António Maia da",2000,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3243,978-972-650-547-1,Atlas de anatomia,"Almeida, Guilherme de, coord. ; Magalhães, A., adapt. e notas",,"Magalhães, A.",2003,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3244,978-972-650-584-6,O grande livro da sexualidade,"Díaz Morfa, José... [et al.]",Vane,,2002,Didáctica,9-11 anos,,Leitura mediana,,Ciências e Tecnologia,,,,,Português,
3245,978-972-650-594-5,Atlas de zoologia,"Almeida,  Guilherme de, ed. lit.",,"Carneiro, Ana Paula ; Esteves, Lília",2002,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3246,978-972-650-622-5,A grande enciclopédia infantil,,Marifé González ; Elena Ferrándiz,"Genro, Orlanda",2007,Didáctica,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,Cultura e Sociedade,,,,Português,
3247,978-972-650-629-4,Atlas básico da astronomia,"Magalhães, António, adapt.",,Magalhães; António,2003,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3248,978-972-650-630-0,Aprender com o grande livro dos contos,"Nápoles, Anabela, adapt.",,"Nápoles, Anabela",2004,Didáctica,6-8 anos,,Leitura inicial,Leitura fluente,Literatura,,,Livro álbum,,Português,
3249,978-972-650-631-7,Atlas básico de botânica,,,"Carneiro, Ana Paula ; Esteves, Lília",2004,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3250,978-972-650-638-6,Atlas básico de Física e Química,"Llansana, Jordi ; Rocha, Tânia, rev. técn.",,"Pedrosa, Maria Amélia",2004,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3251,978-972-650-639-3,Conhece a União Europeia : atlas elementar temático,,,"Guerreiro, Inês",2004,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,Livro álbum,,Português,
3252,978-972-650-656-0,Atlas básico de ecologia,"Tola, José ; Infiest, Eva","Tuckerman, R.","Esteves, Lília",2004,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3253,978-972-650-658-4,Como «gira» o mundo : atlas elementar temático,,,"Guerreiro, Inês",2005,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3254,978-972-650-659-1,Conta-me coisas do teu país : 30 e-mails para a diversidade,"Cela, Daniel ; Costa, Jordi",,"Santos, Susan Jackson",2005,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3255,978-972-650-665-2,Atlas básico de História Universal,"Villacampa, Vicente ; Rebelo,Carlos, rev.",,"Caprichoso, Horácio ",2005,Didáctica,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
3256,978-972-650-666-9,Atlas básico das religiões,"Tello, Antonio ; Jean-Pierre ; Coma-Cros, Daniel ; Almeida, Guilherme de, ed. lit",,"Martins, Rui",2005,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3257,978-972-650-672-0,Atlas do corpo,"Parker, Steve ; Routh, Cristina, consult.",,"Magalhães, António",2005,Didáctica,9-11 anos,,Leitura mediana,,Ciências e Tecnologia,,,,,Português,
3258,978-972-650-677-5,Albert Einstein,"Cugota, Lluís","Roldán, Gustavo","Rocha, Tânia",2005,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,Biografia,,,,Português,
3259,978-972-650-678-2,Leonardo da Vinci,"Tello, Antonio ","Boccardo, Johanna A.","M.,Catarina",2005,Didáctica,9-11 anos,,Leitura mediana,,Artes,Biografia,,,,Português,
3260,978-972-650-698-0,Saint-Exupéry,"Martí, Meritxell","Gubianas, Valentí","Malheiro, Catarina",2005,Didáctica,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,Livro álbum,,Português,
3261,978-972-650-699-7,Vincent van Gogh,"Martín, Carmen ","Luciani, Rebeca","Sousa, Vírginia Blanc de ",2005,Didáctica,9-11 anos,,Leitura mediana,,Artes,Biografia,,,,Português,
3262,978-972-650-704-8,Atlas básico de explorações e descobertas,"Almeida, Guilherme de, coord.",,"Pereira, Paula",2006,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3263,978-972-650-708-6,Charles Chaplin,"Luque, Luis ","Arbat, Carles","Ramos, Cláudia",2006,Didáctica,9-11 anos,,Leitura mediana,,Artes,Biografia,,,,Português,
3264,978-972-650-709-3,Cleópatra,"Gil, Carmen","Herrero, Teresa","Pedrosa, Maria Amélia",2006,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,Biografia,,,,Português,
3265,978-972-650-710-9,Marie Curie,"Cugota, Lluís","Vera, Luisa","Pedrosa, Maria Amélia",2009,Didáctica,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,Biografia,,,,Português,
3266,978-972-650-722-2,As plantas,"Marcet, Xavier","Huguet, Marta","Esteves, Lília",2006,Didáctica,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,,,Português,
3267,978-972-650-723-9,O meu primeiro atlas... O Universo,"Borràs, Lluís ; Ortega, Ofelia ; Banqueri, Eduardo, rev. técn.","Roldán, Gustavo","Magalhães, António",2006,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3268,978-972-650-739-0,Miguel de Cervantes,"Tello, Antonio ","Julve, Òscar","Malheiro, Catarina",2006,Didáctica,9-11 anos,,Leitura mediana,,Artes,Biografia,,,,Português,
3269,978-972-650-740-6,Picasso,"Bargalló, Eva ","Monreal, Violeta","Sousa, Filipa Blanc de",2006,Didáctica,9-11 anos,,Leitura mediana,,Artes,Biografia,,,,Português,
3270,978-972-650-751-2,Atlas básico da água,"Almeida, Guilherme de, coord.",,"Esteves, Lília",2007,Didáctica,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
3271,978-972-650-777-2,Atlas básico de literatura,"Almeida, Guilherme, coord.",,"Martins, Martins ; Blanc de Sousa, Virgínia",2007,Didáctica,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
3272,978-972-650-779-6,Atlas básico dos mamíferos,"Almeida, Guilherme de, coord.",,"Carneiro, Ana Paula",2008,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3273,978-972-650-786-4,Luís de Camões,"Nascimento, Zacarias","Neves, Ernesto",,2008,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,Literatura,,Livro álbum,,Português,
3274,978-972-650-812-0,Salvador Dalí,"Martín, Carme ","Fruitós, Adrià","Sousa, Vírginia Blanc de ",2009,Didáctica,9-11 anos,,Leitura mediana,,Artes,Biografia,,,,Português,
3275,978-972-650-814-4,Tutankhamon,"Pagés, Oriol","Inaraja, Christian","Martins, Rui",2009,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3276,978-972-650-822-9,António Vieira,"Nascimento, Zacarias","Neves, Ernesto",,2009,Didáctica,12-14 anos,,Leitura fluente,,Cultura e Sociedade,Biografia,,,,Português,
3277,978-972-650-828-1,D. Afonso Henriques,"Pacheco, Rita",,,2009,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,Biografia,,,,Português,
3278,978-972-650-842-7,O grande livro das princesas,"Vinyoli, Joan ; Vinyoli, Albert","Ruano, Sara",,2009,Didáctica,9-11 anos,,Leitura mediana,Leitura fluente,Literatura,,,,,Português,
3279,978-972-650-935-6,A formação do reino de Portugal : os feitos dos primeiros reis e a conquista da independência : 1096-1297,"Duarte, Luís Ricardo ; Rebelo, Carlos, rev. cient.","Concha, João",,2012,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3280,978-972-650-936-3,Os descobrimentos portugueses,"Duarte, Luís Ricardo ; Rebelo, Carlos, rev. cient.","Concha, João",,2012,Didática Editora,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,Livro álbum,,Português,
3281,978-972-650-938-7,O grande livro das emoções,"Pujol i Pons, Esteve ; Bisquerra Alzina, Rafael","Arbat, Carles","Guerreiro, Inês",2002,Didáctica,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Cultura e Sociedade,,,,,Português,
3282,978-972-650-945-5,A televisão,"Loureiro, Maria Teresa ; Rebelo, Carlos, rev. cient.",,"Galo, Inês",2013,Didáctica,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
3283,978-972-650-953-0,O 11 de Setembro : os atentados que mudaram o mundo,"Cordeiro, Ana Nunes ; Rebelo, Carlos, rev. cient.",,"Alves., Manuel",2012,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,Livro álbum,,Português,
3284,978-972-650-953-0,O 11 de Setembro : os atentados que mudaram o mundo,"Cordeiro, Ana Nunes; Rebelo, Carlos, rev. cient.","Alves, Manuel",,2012,Didáctica,9-11 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
3285,978-972-650-954-7,O Estado Novo : como vivemos 48 anos em ditadura : 1926-1974,"Duarte, Luís Ricardo ; Rebelo, Carlos, rev. cient.","Concha, João",,2012,Didática Editora,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,Livro álbum,,Português,
3286,978-972-650-957-8,Atlas básico da matemática,"Bernardes, Manuel, revis. técn.",,"Bernardes, Manuel",2004,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3287,978-972-650-959-2,Atlas básico de tecnologia,"Borràs, Lluís ; Bernardes, Manuel, rev. técn.",,"Bernardes, Manuel",2003,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3288,978-972-650-963-9,A guerra colonial : como Portugal deixou de ser um império e novos países conquistaram a sua independência,"Duarte, Luís Ricardo ; Rebelo, Carlos, rev. cient.","Concha, João",,2013,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3289,978-972-650-965-3,Atlas básico de fisiologia,"Almeida, Guilherme de, coord. ; Magalhães, A., adapt. e notas",,"Magalhães, A.",2013,Didáctica,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3290,978-972-650-970-7,O telefone,"Bonifácio, João","Galo, Inês",,2013,Didáctica,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
3291,978-972-650-972-1,A Segunda Guerra Mundial,"Margarido Manuel ; Rebelo, Carlos, rev.","Alves, Manuel",,2013,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,Literatura,,Livro álbum,,Português,
3292,978-972-650-972-1,A Segunda Guerra Mundial,"Margarido, Manuel ; Rebelo, Carlos, rev. cient.","Alves, Manuel",,2013,Didáctica,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
3293,978-972-650-982-0,O meu primeiro dicionário português-inglês,,,,2014,Didáctica,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Cultura e Sociedade,,,,,Português,Inglês
3294,978-972-659-332-4,"Boa noite, Tomás!","Genechten, Guido Van",,,2007,Educação Nacional,0-2 anos,,Pré-leitura,,Vida Prática,,,Livro álbum,,Português,
3295,978-972-659-339-3,Quem conduz?,"Timmers, Leo",,,2007,Educação Nacional,0-2 anos,,Pré-leitura,,Vida Prática,,,Livro álbum,,Português,
3296,978-972-659-340-9,Nasredin,"Weulersse, Odile","Dautremer, Rébecca","Carvalho, Lucília",2007,Educação Nacional,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3297,978-972-659-343-0,Uma prenda de Natal,"Butler, M. Christina ","Macnaughton, Tina",,2007,Educação Nacional,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Português,
3298,978-972-659-355-3,O médico do mar,"Timmers, Leo","Timmers, Leo",,2008,Educação Nacional,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
3299,978-972-659-356-0,Os 5 sentidos,"Roca, Núria","Curto, Rosa","Carvalho, Lucília",2008,Educação Nacional,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
3300,978-972-659-357-7,"Os três R´s : reutilizar, reduzir, reciclar","Roca, Núria","Curto, Rosa Maria","Carvalho, Lucília",2007,Educação Nacional,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
3301,978-972-659-359-1,Tenho asma : asma e alergias,"Moore-Mallinos, Jennifer","Curto, Rosa","Carvalho, Lucília",2007,Educação Nacional,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
3302,978-972-659-360-7,A origem dos materiais : natural ou artificial?,"Roca, Núria","Curto, Rosa Maria","Carvalho, Lucília",2008,Educação Nacional,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
3303,978-972-659-361-4,Os três terríveis porquinhos,"Pichon, Liz",,"Carvalho, Lucília",2008,Educação Nacional,9-11 anos,,Leitura mediana,Leitura fluente,Literatura,,,,,Português,
3304,978-972-659-362-1,"Quero dormir, carneiros traquinas!","Ritchie, Alison","Haas, Cornelia","Carvalho, Lucília",2008,Educação Nacional,6-8 anos,,Leitura inicial,Leitura fluente,Literatura,,,Livro álbum,,Português,
3305,978-972-659-367-6,Tal como tu!,"Genechten, Guido Van",,"Marques, Ana",2008,Educação Nacional,0-2 anos,,Pré-leitura,,Ciências e Tecnologia,,,Livro álbum,,Português,
3306,978-972-659-376-8,Nasredin & o seu burro,"Weulersse, Odile","Dautremer, Rébecca","Carvalho, Lucília",2008,Educação Nacional,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
3307,978-972-659-378-2,Um dia especial com o meu papá!,"Genechten, Guido Van","Genechten, Guido Van","Carvalho, Lucília",2010,Educação Nacional,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
3308,978-972-659-431-4,O burro Eleutério e o lobo selvagem ,"Bessa, Pedro","Rocha, Cláudia",,2009,Educação Nacional,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,Literatura,,Livro com CD e/ou DVD,,Português,
3309,978-972-659-459-8,Luta pela taça,"Gemert, Gerard Van","Henriques, José N. Pestana","Caenen, Lut",2010,Educação Nacional,9-11 anos,,Leitura mediana,Leitura fluente,Literatura,,,,,Português,
3310,978-972-659-479-6,O boneco de neve sorridente,"Butler, M. Christina","Macnaughton, Tina","Carvalho, Lucília",2010,Educação Nacional,0-2 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
3311,978-972-659-480-2,Os dez desejos de Natal,"Freedman, Claire ","Yerril, Gail","Carvalho, Lucilia",2010,Educação Nacional,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,Livro álbum,,Português,
3312,978-972-659-482-6,A princesa da neve,"Hawkins, Emily",,,2010,Educação Nacional,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
3313,978-972-659-483-3,Rafael e o segredo de Leonor,"Le Ray, Anik","Dautremer, Rébecca","Carvalho, Lucília",2009,Educação Nacional,9-11 anos,,Leitura mediana,Leitura fluente,Literatura,,,,,Português,
3314,978-972-659-518-2,A fada rosa e o amigo ternurento,"Bloom, Kate","Pack, Emma","Dias, Susana",2010,Educação Nacional,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3315,978-972-659-571-7,A um salto da vitória,"Gemert, Gerard van ; Castro, Salomé, adapt.","Janssen, Mark","Castro, Salomé",2011,Educação Nacional,6-8 anos,,Leitura inicial,,Literatura,,,,,Português,
3316,978-972-661-202-5,Os Lusíadas,"Camões, Luís Vaz de ; Saraiva, António José, org.",,,2014,Figueirinhas,12-14 anos,,Leitura fluente,,Poesia,,,,,Português,
3317,978-972-661-207-0,E viu a terra inteira de repente…,"Queirós, Fernando Ramiro","Maia, António",,2006,Figueirinhas,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3318,978-972-662-010-5,Breve história do tempo Do Big Bang aos buracos negros,"Hawking, Stephen William",,"Costa, Maria Alice Gomes da",2011,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3319,978-972-662-105-8,QED : a estranha teoria da luz e da matéria,"Feynman, Richard P. ; Ramos, Helena, introd. ; Baptista, António Manuel, rev. cient.",,"Baptista, Ana Maria Ovídio",2002,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3320,978-972-662-168-3,Viagem às estrelas A exploração espacial no futuro,"Jastrow, Robert",,,1990,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3321,978-972-662-172-0,Um pouco mais de azul : a evolução cósmica,"Reeves, Hubert ; Branco, Jorge, rev. cient.",,"Branco, Armando da Silva",2013,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3322,978-972-662-192-8,Física divertida,"Fiolhais, Carlos","Bandeira, José",,2012,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3323,978-972-662-230-7,Guia do jovem consumidor ecológico,"Elkington, John ; Hailes, Julia","Ross, Tony","Ventura, Carlos ; Ventura, Luz",2008,Gradiva,9-11 anos,6-8 anos,Leitura mediana,Leitura inicial,Ciências e Tecnologia,Cultura e Sociedade,,,,Português,
3324,978-972-662-267-3,Há monstros debaixo da cama?,"Watterson, Bill ",,"Bastos, Ana Falcão",2007,Gradiva,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3325,978-972-662-322-9,Ser ou não ser Arte : estudos e ensaios de metaliteratura,"Saraiva, António José",,,1993,Gradiva,15-18 anos,,Leitura fluente,,Ensaio,Artes,,,,Português,
3326,978-972-662-388-5,Viagem pela ciência Um livro de experiências,"Gold, Carol","Krstanovich, Vesna","Duarte, Ana",2007,Gradiva,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
3327,978-972-662-401-1,Para a história da cultura em Portugal - Vol.1,"Saraiva, António José",,,1995,Gradiva,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
3328,978-972-662-415-8,Para a história da cultura em Portugal - Vol. 2,"Saraiva, António José",,,1995,Gradiva,15-18 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
3329,978-972-662-418-9,Sabes porquê?,"Wollard, Kathy ; Buescu, Jorge, rev. cient.","Solomon, Debra","Valadares, Carla ; Horta, Catarina ; Neves, Sofia",,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3330,978-972-662-540-7,Buracos negros : uma viagem ao centro de um buraco negro - e a um dos maiores mistérios do universo,"Couper, Heather ; Henbest, Nigel","Corbella, Luciano ","Ribeiro, Rui Godinho Lobo Girão",1997,Gradiva,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
3331,978-972-662-659-6,História dentro de uma garrafa,"Honrado, Alexandre","Inácio, Ana Cristina",,2008,Gradiva,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3332,978-972-662-698-5,Vida extraterrestre : a verdade está aqui!,"Challoner, Jack","McLynn, Andrew","Terra, Gonçalo",1999,Gradiva,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
3333,978-972-662-700-5,A bruxa Mimi no Inverno,"Thomas, Valerie","Korky, Paul","Terra, Gonçalo",2004,Gradiva,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
3334,978-972-662-740-1,As viagens do Infante D. Pedro,"Correia, Margarida Sérvulo",,,2000,Gradiva,9-11 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
3335,978-972-662-760-9,Histórias para meninos «não quero»,"Gonçalves, Vanda","Tinoco, João",,2010,Gradiva,6-8 anos,,Leitura inicial,,Literatura,,,,,Português,
3336,978-972-662-763-0,Sabes porquê? : planeta Terra,"Wollard, Kathy","Solomon, Debra",,2000,Gradiva,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,,,Português,
3337,978-972-662-777-7,Os porquês dos quês : perguntas e respostas sobre ciência do quotidiano,,"Gerrell, Spike","Batista, António M.",2001,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3338,978-972-662-784-5,Comer : tudo o que precisas de saber...,"Naik, Anita ",,"Grilo, Joana Marçal",2001,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3339,978-972-662-792-0,O mistério do BI e outras histórias : crónicas das fronteiras da ciência,"Buescu, Jorge",,,2012,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3340,978-972-662-847-7,O ambiente,"Barber, Nicola ; Dewar, Nick ; Espiga, Adelaide, rev. cient.",,"Terra, Gonçalo",2011,Gradiva,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,,,Português,
3341,978-972-662-898-9,Da falsificação de euros aos pequenos mundos : novas crónicas das fronteiras da ciência,"Buescu, Jorge",,,2003,Gradiva,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
3342,978-972-665-421-6,Viagem à Lua : o outro mundo ou os estados e impérios da lua,"Bergerac, Cyrano de",,,1999,Guimarães Editores,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
3343,978-972-665-443-8,Branca de Neve e outros contos,"Grimm, Jacob ; Grimm, Wilhelm",,"Costa, João Alves",2001,Guimarães Editores,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
3344,978-972-665-472-8,Contos de Natal,"Dickens, Charles ","Simas, Helena","Costa, João",2004,Guimarães Editores,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
3345,978-972-665-488-9,Contos arrepiantes,"Stoker, Bram",,"Costa, João",2004,Guimarães Editores,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
3346,978-972-665-528-2,O chapéu das fitas a voar,"Luís, Agustina Bessa ; Cruz, Manuel Vieira ; Ferreira, Luís Abel, pref.",,,2008,Guimarães Editores,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,
